ID,Estilo,Acabamento,PosDir,Instrumentos,Interior,Malas,Desempenho,Motor,Cambio,Freios,Suspensao,Consumo,Estabilidade,CustoBeneficio,Recomendacao,AvGeral
3804a2f1,9,8,8,10,8,7,7,8,8,7,8,8,10,10,10,8.4
43d43fa1,8,6,5,7,6,6,7,9,8,8,8,5,4,10,6,6.866666666666666
e855c427,8,6,5,3,6,7,10,10,8,8,8,10,6,10,9,7.6
30f87b5b,5,5,7,10,8,7,5,8,6,7,8,8,8,10,8,7.333333333333333
541c2bc9,5,0,5,8,4,7,5,2,5,8,4,8,7,7,3,5.2
cef791dd,4,3,8,8,5,6,8,6,8,7,7,7,7,8,7,6.6
f003d038,8,6,7,6,6,7,8,7,7,7,4,9,8,9,9,7.2
f3fed9ca,9,7,9,5,8,7,8,6,9,6,4,7,7,8,8,7.2
6f328c84,9,7,7,9,9,9,9,10,9,9,9,8,9,8,10,8.733333333333333
a65ab3fe,8,8,5,4,3,6,8,7,5,7,8,10,8,9,10,7.066666666666666
414b1456,10,8,5,7,7,7,5,8,10,8,8,10,7,10,10,8.0
bfda6f2a,2,2,1,5,2,1,2,3,5,8,5,5,7,5,2,3.6666666666666665
cc9a1a41,7,5,7,9,6,7,8,9,7,8,8,7,7,7,9,7.4
a5fd5175,10,7,10,10,5,4,7,10,10,10,8,9,10,10,10,8.666666666666666
16bc8c7a,4,6,5,5,5,3,9,5,6,5,5,10,6,10,10,6.266666666666667
85f81359,9,5,8,7,7,6,9,9,9,8,7,9,8,8,9,7.866666666666666
ebdf75aa,10,0,5,1,0,0,1,7,0,10,6,1,10,5,1,3.8
9e3005d2,4,2,4,9,6,6,5,9,7,9,5,9,9,10,8,6.8
ae1fb8fa,10,8,9,9,9,10,10,8,6,10,9,5,9,9,8,8.6
82bd6e60,5,4,5,7,4,6,9,9,7,9,5,8,6,6,6,6.4
63e91171,10,7,8,8,8,8,9,9,8,7,8,8,8,9,10,8.333333333333334
8110680b,4,1,0,2,0,1,6,3,3,5,3,1,1,4,0,2.2666666666666666
acb09e62,10,10,10,9,10,7,10,10,6,6,7,8,10,8,10,8.733333333333333
6ea77ceb,7,6,7,8,7,8,9,10,10,10,9,8,8,9,10,8.4
e744c9f6,5,2,7,7,4,2,8,8,8,8,7,10,7,8,8,6.6
9f96a19b,8,5,7,5,4,4,10,7,7,5,6,8,6,8,7,6.466666666666667
774e18a4,7,5,6,5,5,5,7,10,8,7,5,7,7,7,9,6.666666666666667
c89dfe68,9,6,6,8,7,8,10,9,8,9,8,7,9,9,9,8.133333333333333
cd88cf12,8,7,9,9,8,8,9,8,8,9,8,10,10,10,10,8.733333333333333
088ea241,5,2,4,4,2,4,7,8,7,2,4,4,3,8,8,4.8
0c0b99e3,7,4,5,8,5,4,9,9,9,7,7,9,9,8,10,7.333333333333333
acb3e80b,6,0,6,7,1,7,9,7,7,7,2,9,7,6,6,5.8
4c6eab7c,5,3,7,8,4,6,6,5,9,8,7,7,7,7,3,6.133333333333334
2f3120d2,7,3,3,6,3,5,7,4,4,6,4,4,6,8,2,4.8
0b49f2d1,8,6,6,7,6,6,9,8,7,8,6,9,7,9,9,7.4
3b5f9bcf,6,5,6,4,4,5,5,6,6,7,6,6,6,5,6,5.533333333333333
6ee76d28,9,6,8,10,6,7,9,10,10,9,8,9,9,8,8,8.4
e75e388a,8,5,6,10,7,7,9,9,7,9,9,10,9,9,9,8.2
e31b0003,5,4,3,5,4,5,4,2,5,5,4,4,4,3,0,3.8
f317a745,6,5,7,6,6,7,8,6,6,6,7,7,6,9,8,6.666666666666667
3bcf1f77,8,5,5,9,3,5,8,9,6,9,7,2,8,6,2,6.133333333333334
d266831e,9,9,7,10,7,6,9,9,9,9,9,8,7,10,10,8.533333333333333
1721caa3,9,10,10,8,9,8,10,10,10,10,10,10,9,10,10,9.533333333333333
1f7cdf8b,7,5,6,7,6,7,8,7,7,6,7,8,7,7,7,6.8
0aff2a48,8,7,9,9,8,6,9,8,8,9,7,3,7,7,8,7.533333333333333
aaf25742,6,6,5,7,6,8,8,7,6,8,8,9,5,9,7,7.0
1ec50dc3,5,1,5,1,3,3,5,6,6,3,7,7,8,7,5,4.8
6f3e3b24,9,7,0,8,2,8,10,10,9,6,9,10,7,10,8,7.533333333333333
3fca4ca0,10,7,7,6,7,8,7,7,10,10,7,9,7,6,8,7.733333333333333
dcf07819,7,6,3,7,6,6,8,8,8,6,6,7,7,7,7,6.6
763eda40,5,5,5,5,5,5,6,5,5,6,6,10,6,5,5,5.6
2be64a6f,7,5,8,8,5,4,9,9,9,7,6,9,8,10,8,7.466666666666667
211e44b1,7,2,6,7,2,4,7,3,7,4,3,9,7,7,5,5.333333333333333
c0032fd3,7,7,9,8,7,6,9,7,8,8,6,7,7,6,8,7.333333333333333
6be5c65d,7,2,3,9,3,5,4,9,3,10,9,5,10,8,3,6.0
5ce0761a,8,4,3,7,4,5,8,9,8,7,7,8,7,7,8,6.666666666666667
91347667,5,1,3,8,6,6,9,8,7,1,4,5,5,8,4,5.333333333333333
0ecbe7d3,6,4,6,3,4,3,4,6,7,7,8,9,6,8,7,5.866666666666666
5e3365e5,9,7,9,10,9,9,10,8,10,10,9,10,10,10,10,9.333333333333334
d4ff5104,8,7,7,6,6,7,8,8,8,8,8,10,10,10,10,8.066666666666666
9de51636,5,5,7,6,7,7,6,9,5,6,6,7,6,8,7,6.466666666666667
38145375,7,6,6,7,3,3,8,8,6,7,8,9,7,8,8,6.733333333333333
43dfb1f1,8,5,3,8,6,6,8,7,4,7,5,9,5,9,8,6.533333333333333
32cb19ca,7,4,6,7,5,7,8,8,6,7,6,7,4,8,8,6.533333333333333
09222051,6,3,10,8,4,1,7,4,4,8,3,10,8,5,10,6.066666666666666
6635ad8b,2,2,5,5,4,5,8,10,5,5,8,10,8,10,10,6.466666666666667
567492c8,7,5,8,8,7,7,10,10,8,7,8,8,8,9,9,7.933333333333334
1da76821,10,8,6,10,7,5,10,10,10,10,9,10,8,8,10,8.733333333333333
e814be65,10,9,8,5,3,3,6,9,9,6,5,10,8,10,10,7.4
749ca80f,10,6,7,7,6,7,10,10,7,7,7,9,8,10,10,8.066666666666666
7c3774b5,6,4,3,4,4,5,8,10,9,9,2,5,7,9,7,6.133333333333334
2e13f375,9,7,7,8,8,9,8,10,9,8,8,10,8,9,9,8.466666666666667
85f15ce0,7,2,4,9,2,3,5,5,5,9,7,10,8,10,8,6.266666666666667
f95f9267,7,6,6,7,7,6,9,9,8,7,8,9,8,9,9,7.666666666666667
21ea47cf,7,0,7,8,7,6,8,8,7,8,8,8,8,8,2,6.666666666666667
875d351d,10,8,7,9,7,8,8,9,8,6,5,7,7,9,9,7.8
de7aa606,9,6,6,8,8,6,8,8,7,7,6,8,8,10,8,7.533333333333333
96066e5b,8,6,6,7,6,8,6,8,6,8,7,10,5,9,9,7.266666666666667
c37e68b3,7,6,7,5,7,7,6,7,4,4,6,9,4,7,9,6.333333333333333
64246b31,8,5,5,6,6,4,8,8,5,7,7,8,9,8,9,6.866666666666666
206b6a55,9,5,9,7,4,5,9,9,8,8,8,9,10,9,9,7.866666666666666
ed13911e,7,6,5,9,8,7,5,8,4,7,6,8,8,9,8,7.0
5e430a53,9,4,4,5,5,5,10,10,7,9,6,10,10,10,10,7.6
dc31322e,7,7,8,7,7,7,8,8,8,8,8,8,7,8,8,7.6
5410dac1,7,6,9,7,4,6,10,10,6,8,9,9,10,9,9,7.933333333333334
783d708c,5,5,5,5,5,5,7,8,8,6,6,8,5,7,8,6.2
31b6a2a7,9,9,9,8,8,7,10,10,9,8,10,10,9,10,10,9.066666666666666
db15b510,7,4,9,7,3,2,8,2,5,5,3,8,4,9,6,5.466666666666667
5fe72aa6,9,7,7,7,7,7,9,7,7,9,9,9,9,8,8,7.933333333333334
5ae52eca,9,7,7,7,5,8,7,8,8,7,7,8,7,10,9,7.6
1e23605b,7,5,10,4,5,5,8,6,7,7,7,8,8,10,10,7.133333333333334
3a941b4b,9,8,10,9,10,10,10,9,10,10,10,10,10,10,10,9.666666666666666
7f73baba,6,6,6,7,4,5,8,8,6,5,4,8,8,8,7,6.4
8f59ddbd,7,3,6,6,4,7,9,9,5,5,6,8,6,10,8,6.6
2aeee309,5,4,4,4,4,5,9,9,9,9,9,8,8,10,10,7.133333333333334
0825b9b4,7,6,6,8,6,7,8,8,8,7,7,5,7,8,8,7.066666666666666
19def043,9,7,8,9,7,8,9,10,9,9,10,8,10,9,10,8.8
3af552e9,7,6,5,7,6,6,7,8,6,7,7,8,7,8,8,6.866666666666666
6acf87af,7,4,3,9,8,8,10,10,8,5,5,10,4,7,7,7.0
df9d9ed5,10,4,8,8,8,8,10,10,9,9,9,10,10,10,9,8.8
768e04f3,8,5,7,7,7,7,7,5,7,7,9,10,5,9,10,7.333333333333333
e8a36502,9,7,8,10,8,7,7,9,8,9,7,10,9,8,8,8.266666666666667
81d53ae8,7,5,8,9,7,8,10,10,7,8,6,10,10,10,10,8.333333333333334
6779dce5,8,7,7,8,8,8,9,9,7,9,9,9,8,9,9,8.266666666666667
d459c0c6,8,7,8,7,7,5,9,9,9,8,8,10,9,9,9,8.133333333333333
18bdd2e8,7,4,5,7,5,7,5,7,6,7,5,9,5,9,8,6.4
62da2252,9,7,6,8,8,7,9,9,7,7,7,8,8,8,8,7.733333333333333
5994c4d6,7,5,6,6,6,6,7,7,7,8,7,9,9,8,9,7.133333333333334
8a393fc5,8,7,9,9,7,6,7,10,10,10,9,8,8,9,9,8.4
0dcb94a0,10,5,4,5,5,4,7,5,3,7,5,8,5,7,6,5.733333333333333
73cb26e5,8,6,7,10,8,8,10,10,9,9,9,7,9,10,9,8.6
47cc3e78,9,4,5,8,4,8,8,9,6,9,8,8,6,7,8,7.133333333333334
7260f0dc,8,8,8,9,7,7,9,10,10,9,7,10,7,10,10,8.6
dfbceb33,9,8,7,9,6,6,10,10,10,10,9,9,7,8,10,8.533333333333333
f5c6599c,7,5,4,7,4,7,9,9,9,9,7,9,8,8,8,7.333333333333333
13e438bb,9,8,9,9,8,8,8,9,8,9,9,8,9,10,9,8.666666666666666
cb67babd,8,4,4,5,6,4,7,9,5,6,3,4,8,7,5,5.666666666666667
634d3971,5,1,8,5,3,6,7,8,7,6,3,6,5,5,6,5.4
cb0a5c33,7,7,9,10,7,6,7,9,10,8,7,5,6,9,9,7.733333333333333
9a74f8d1,5,5,3,9,4,3,7,2,2,9,5,2,4,6,0,4.4
a70daaee,9,5,5,10,5,8,5,7,7,9,10,0,8,10,8,7.066666666666666
950040be,7,7,5,7,7,7,9,9,8,8,8,7,8,9,9,7.666666666666667
fafebb2a,7,4,5,3,7,8,10,10,9,8,8,10,7,9,10,7.666666666666667
6e824796,8,7,9,10,7,6,10,8,10,7,7,9,9,6,8,8.066666666666666
d0e9d360,6,6,7,6,6,5,7,6,5,7,6,1,5,5,3,5.4
1403f8d4,7,6,6,7,5,6,10,9,8,9,7,10,8,9,8,7.666666666666667
d6423495,9,8,8,10,6,8,10,8,10,9,5,10,8,10,10,8.6
8bc196ed,10,7,7,6,6,0,6,6,0,0,0,0,0,10,0,3.8666666666666667
698cf947,8,3,7,10,3,5,7,8,0,10,10,0,8,8,0,5.8
1df26ce7,9,9,9,9,9,9,9,9,9,9,9,10,9,10,10,9.2
f3d2bd90,7,5,5,5,4,5,7,7,7,7,7,8,7,10,8,6.6
ff2c6ee4,7,6,10,10,6,6,10,10,10,10,7,9,9,10,10,8.666666666666666
8a7b2d82,9,5,7,5,9,7,8,7,7,8,7,8,9,9,9,7.6
54cbd962,9,8,9,10,5,5,8,9,9,7,4,9,7,9,8,7.733333333333333
474dbdf3,6,5,7,10,6,5,9,7,6,6,6,9,7,8,7,6.933333333333334
84967797,10,5,10,5,7,2,2,5,5,7,4,5,5,10,8,6.0
4033b72f,7,6,8,6,7,8,8,8,8,7,8,9,7,9,9,7.666666666666667
a6e6a8f5,7,4,6,5,5,6,9,9,7,7,3,8,6,10,9,6.733333333333333
ab98cb15,6,4,5,5,6,7,6,7,7,6,6,8,7,7,5,6.133333333333334
dd2334c2,4,2,7,9,3,1,9,8,8,6,7,10,7,9,8,6.533333333333333
7b68ebe0,7,7,7,8,8,8,8,9,9,8,8,10,8,10,10,8.333333333333334
4755f02f,8,5,7,8,7,5,9,9,8,8,7,9,8,9,9,7.733333333333333
016b2a72,8,3,7,9,7,5,10,8,6,9,8,9,8,8,10,7.666666666666667
9c94d2f0,9,5,9,10,6,5,10,10,10,9,8,10,8,9,9,8.466666666666667
01f5fd0b,8,6,8,10,7,7,10,10,10,9,9,10,9,9,10,8.8
894f37ee,8,6,6,8,8,10,10,10,8,8,7,9,7,10,10,8.333333333333334
f991db98,9,6,6,9,7,7,9,10,8,8,6,8,7,9,8,7.8
a33e865c,8,3,5,7,3,5,9,3,9,7,6,7,3,7,7,5.933333333333334
b531130a,8,8,7,9,9,8,8,8,9,9,8,10,8,9,9,8.466666666666667
eed03abf,8,4,8,8,5,5,7,9,7,6,5,8,7,6,5,6.533333333333333
9d0d2c05,8,4,6,7,5,7,8,8,7,8,6,7,9,7,7,6.933333333333334
3a1b2af1,6,3,4,6,4,4,7,7,5,2,4,7,6,10,8,5.533333333333333
aa72ddbe,9,7,6,9,8,6,8,7,10,9,6,8,9,8,8,7.866666666666666
f45ac3a9,5,3,5,5,3,2,5,7,5,8,5,5,5,7,5,5.0
dbfd7cc8,9,7,9,9,7,5,8,9,9,9,8,10,8,9,10,8.4
07245de7,7,7,7,7,6,5,8,8,7,8,6,9,7,8,9,7.266666666666667
f8e44f66,7,4,8,6,7,6,10,10,8,8,8,10,10,9,10,8.066666666666666
6bc34e3e,7,3,3,3,6,6,9,5,5,9,6,3,7,3,3,5.2
cb556671,8,5,9,10,8,8,9,0,4,10,10,5,7,7,2,6.8
f71bece2,8,6,6,8,5,6,10,9,6,8,8,7,7,8,9,7.4
b5c417a3,8,7,7,9,7,7,9,8,6,9,8,5,7,7,7,7.4
fa933532,9,7,7,10,7,5,6,4,7,4,6,7,8,9,7,6.866666666666666
f8e88101,8,8,8,7,7,7,9,9,8,7,7,7,7,9,8,7.733333333333333
f5c826cb,5,3,6,9,4,3,8,6,6,7,7,9,6,10,7,6.4
2863b66e,8,6,6,5,4,3,6,8,7,6,5,3,4,7,5,5.533333333333333
ace16964,7,5,9,10,8,8,7,7,8,8,5,7,7,8,8,7.466666666666667
d887b88a,7,4,2,6,5,6,10,10,8,8,8,8,8,9,8,7.133333333333334
18fbfccc,5,4,3,6,5,5,7,7,7,8,5,5,6,7,7,5.8
6792f940,10,8,6,5,7,8,9,10,7,7,7,9,10,10,10,8.2
2fd9520f,9,6,7,8,7,7,8,7,8,8,7,8,7,8,8,7.533333333333333
edfba0b8,8,6,4,5,5,6,10,10,7,7,9,9,6,8,8,7.2
7bb60d89,8,8,7,9,5,5,5,8,10,10,7,10,8,8,8,7.733333333333333
944b068c,9,7,8,7,7,9,10,9,8,8,7,9,8,10,9,8.333333333333334
58b0c8ce,8,3,5,1,3,5,5,4,4,6,4,7,8,8,8,5.266666666666667
e93fea21,7,4,5,8,3,6,9,9,7,6,6,8,7,7,8,6.666666666666667
909fc746,6,4,7,7,6,6,8,8,7,7,6,7,6,7,6,6.533333333333333
e60452b9,6,1,1,1,1,1,2,6,6,7,2,9,5,6,5,3.933333333333333
c6dfe175,9,7,8,7,7,10,10,8,9,8,6,6,7,8,7,7.8
4318aa4d,10,6,8,9,8,8,9,10,8,8,7,8,8,9,9,8.333333333333334
c8b01928,8,6,8,8,6,8,7,8,8,8,5,7,6,8,9,7.333333333333333
3ad32f12,8,3,7,4,5,3,7,3,8,7,3,7,8,8,5,5.733333333333333
0ac74f87,8,5,5,7,7,6,8,8,8,8,7,9,8,8,8,7.333333333333333
8af94c29,9,6,7,9,6,6,8,8,8,8,9,8,9,8,8,7.8
6ada9b59,7,6,7,7,6,6,7,7,7,9,9,0,9,8,8,6.866666666666666
a507488c,9,3,3,3,2,2,7,8,7,5,4,6,8,7,7,5.4
41c15a43,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
0e04256b,8,7,7,7,7,7,9,9,9,9,7,10,7,10,9,8.133333333333333
0ad9c240,9,7,7,8,7,5,9,10,10,10,9,10,9,10,10,8.666666666666666
338f3cfc,8,7,9,8,9,3,6,9,9,8,7,10,9,10,9,8.066666666666666
dff92154,7,7,8,9,6,8,8,9,9,8,7,8,8,9,9,8.0
e3622a73,8,6,9,10,8,8,7,8,8,9,9,9,10,9,8,8.4
900151ae,9,6,10,9,6,6,9,10,9,8,8,9,8,10,10,8.466666666666667
ec8b84c2,8,6,7,8,6,7,7,2,5,8,7,4,7,8,3,6.2
086ab705,10,10,5,10,10,5,8,10,10,10,7,10,8,10,10,8.866666666666667
bd67a67d,5,5,10,6,7,9,8,8,9,9,8,0,8,2,0,6.266666666666667
ff3fd82c,4,2,4,3,2,2,5,8,8,9,7,6,6,8,7,5.4
8fdcd401,10,9,9,10,8,8,8,10,10,10,9,9,8,8,10,9.066666666666666
4ba9ab8c,3,1,1,2,3,5,5,4,2,1,6,10,5,2,0,3.3333333333333335
39a7c960,8,5,6,3,5,5,8,8,8,8,6,8,7,8,7,6.666666666666667
d30590e1,8,6,8,9,6,6,9,9,7,10,9,9,7,7,10,8.0
97f4426a,8,7,8,8,7,7,9,8,8,8,8,10,8,10,9,8.2
a5005fcd,8,6,7,10,7,8,8,10,8,10,10,7,10,9,8,8.4
c8c7f89b,8,7,8,7,7,7,8,9,8,8,8,7,8,9,9,7.866666666666666
8799d8d1,7,5,5,4,4,5,6,7,5,6,5,5,7,9,9,5.933333333333334
53760158,10,5,10,10,9,10,10,10,8,10,7,10,10,10,10,9.266666666666667
debba496,8,4,3,7,5,5,7,7,8,8,6,2,8,8,5,6.066666666666666
6665d4e3,10,6,10,10,7,8,10,10,10,9,10,10,10,10,10,9.333333333333334
0d821165,9,8,8,10,9,9,9,9,10,9,8,8,9,10,10,9.0
3d0a99dd,6,5,5,6,2,5,7,6,7,7,7,9,6,6,6,6.0
a21794cd,7,5,3,5,5,4,8,9,8,8,8,7,8,10,8,6.866666666666666
35ea39d0,3,3,7,3,5,5,8,8,8,8,2,8,8,6,1,5.533333333333333
3d304f04,8,4,4,7,5,7,9,8,8,8,8,8,9,9,9,7.4
5584d994,8,6,6,7,6,6,8,8,7,7,7,8,8,8,8,7.2
c0d707c8,10,6,10,8,9,9,10,10,10,10,10,10,10,9,10,9.4
7d588bbd,8,2,4,8,4,3,10,10,10,10,3,5,5,7,7,6.4
982a5866,9,7,9,9,7,9,10,10,10,8,8,10,9,8,9,8.8
580d186c,9,5,6,9,6,6,9,9,8,8,7,9,8,8,8,7.666666666666667
32fd4a2e,6,3,5,6,2,2,10,8,8,7,7,6,7,6,7,6.0
22a2185c,6,5,4,7,4,3,7,8,8,8,7,8,7,6,5,6.2
abaa26c5,9,7,9,9,8,8,9,9,8,7,7,8,8,9,9,8.266666666666667
4968c31a,5,3,4,6,5,4,4,4,5,5,5,9,9,8,7,5.533333333333333
1204a59a,7,5,4,10,6,6,10,10,7,7,7,8,6,9,9,7.4
685ad5a0,7,4,2,0,5,5,5,5,6,6,2,8,6,6,0,4.466666666666667
3dfadef0,4,1,1,5,2,5,3,1,0,2,0,5,4,2,0,2.3333333333333335
bc1a617f,7,4,7,3,4,3,6,8,8,5,4,6,4,8,7,5.6
b022ed18,6,6,6,8,8,8,10,9,8,8,8,10,9,9,10,8.2
dfb7b487,9,4,1,4,5,4,7,9,6,5,4,4,6,8,8,5.6
a6e8be25,7,5,6,5,5,6,8,8,6,7,7,6,6,8,7,6.466666666666667
4901538e,10,9,9,9,7,8,10,10,9,10,10,10,9,10,10,9.333333333333334
04053baa,7,7,10,8,7,7,10,10,10,8,10,10,10,10,10,8.933333333333334
aa6b8dbb,7,7,7,9,7,7,7,7,8,7,7,8,8,9,8,7.533333333333333
de57a9d0,10,9,9,9,8,5,8,9,9,7,8,9,10,10,10,8.666666666666666
e4527ab8,7,8,10,10,5,6,9,9,10,8,10,9,9,6,10,8.4
89d54067,10,8,8,8,7,7,9,8,9,8,8,8,8,8,8,8.133333333333333
94c03f74,10,8,8,8,7,5,8,8,8,8,8,10,8,8,10,8.133333333333333
599fb585,8,6,7,6,5,5,7,8,7,7,7,10,9,10,9,7.4
0279ed8a,5,3,6,6,4,5,2,5,5,7,7,10,8,10,7,6.0
0fc362a7,8,6,6,8,8,5,9,9,9,9,9,7,8,9,9,7.933333333333334
86276024,8,8,7,8,8,8,10,10,8,9,9,9,10,10,10,8.8
1b66f14e,9,6,7,10,8,7,6,8,7,7,6,6,8,7,9,7.4
cab07b2f,7,3,6,6,4,5,8,7,6,5,5,7,5,7,8,5.933333333333334
c970a535,9,8,8,10,8,8,9,9,9,9,9,9,9,9,9,8.8
